1,"Porto Velho","RO"
2,"Nova Mamoré","RO"
3,"Buritis","RO"
4,"Campo Novo de Rondônia","RO"
5,"Candeias do Jamari","RO"
6,"Cujubim","RO"
7,"Itapuã do Oeste","RO"
8,"Costa Marques","RO"
9,"Guajará-Mirim","RO"
10,"São Francisco do Guaporé","RO"
11,"Ariquemes","RO"
12,"Machadinho D'Oeste","RO"
13,"Rio Crespo","RO"
14,"Alto Paraíso","RO"
15,"Cacaulândia","RO"
16,"Monte Negro","RO"
17,"Vale do Anari","RO"
18,"Jaru","RO"
19,"Ji-Paraná","RO"
20,"Ouro Preto do Oeste","RO"
21,"Presidente Médici","RO"
22,"Governador Jorge Teixeira","RO"
23,"Mirante da Serra","RO"
24,"Nova União","RO"
25,"Teixeirópolis","RO"
26,"Theobroma","RO"
27,"Urupá","RO"
28,"Vale do Paraíso","RO"
29,"Nova Brasilândia D'Oeste","RO"
30,"São Miguel do Guaporé","RO"
31,"Alvorada D'Oeste","RO"
32,"Seringueiras","RO"
33,"Alta Floresta D'Oeste","RO"
34,"Cacoal","RO"
35,"Espigão D'Oeste","RO"
36,"Rolim de Moura","RO"
37,"Santa Luzia D'Oeste","RO"
38,"Alto Alegre dos Parecis","RO"
39,"Novo Horizonte do Oeste","RO"
40,"Castanheiras","RO"
41,"Ministro Andreazza","RO"
42,"Pimenta Bueno","RO"
43,"Vilhena","RO"
44,"Chupinguaia","RO"
45,"Parecis","RO"
46,"Primavera de Rondônia","RO"
47,"São Felipe D'Oeste","RO"
48,"Cabixi","RO"
49,"Cerejeiras","RO"
50,"Colorado do Oeste","RO"
51,"Corumbiara","RO"
52,"Pimenteiras do Oeste","RO"
53,"Cruzeiro do Sul","AC"
54,"Mâncio Lima","AC"
55,"Marechal Thaumaturgo","AC"
56,"Porto Walter","AC"
57,"Rodrigues Alves","AC"
58,"Feijó","AC"
59,"Jordão","AC"
60,"Tarauacá","AC"
61,"Manoel Urbano","AC"
62,"Santa Rosa do Purus","AC"
63,"Sena Madureira","AC"
64,"Acrelândia","AC"
65,"Bujari","AC"
66,"Capixaba","AC"
67,"Plácido de Castro","AC"
68,"Rio Branco","AC"
69,"Senador Guiomard","AC"
70,"Porto Acre","AC"
71,"Assis Brasil","AC"
72,"Brasiléia","AC"
73,"Epitaciolândia","AC"
74,"Xapuri","AC"
75,"Barcelos","AM"
76,"Novo Airão","AM"
77,"Santa Isabel do Rio Negro","AM"
78,"São Gabriel da Cachoeira","AM"
79,"Japurá","AM"
80,"Maraã","AM"
81,"Amaturá","AM"
82,"Atalaia do Norte","AM"
83,"Benjamin Constant","AM"
84,"Fonte Boa","AM"
85,"Jutaí","AM"
86,"Santo Antônio do Içá","AM"
87,"São Paulo de Olivença","AM"
88,"Tabatinga","AM"
89,"Tonantins","AM"
90,"Carauari","AM"
91,"Eirunepé","AM"
92,"Envira","AM"
93,"Guajará","AM"
94,"Ipixuna","AM"
95,"Itamarati","AM"
96,"Juruá","AM"
97,"Alvarães","AM"
98,"Tefé","AM"
99,"Uarini","AM"
100,"Anamã","AM"
101,"Anori","AM"
102,"Beruri","AM"
103,"Caapiranga","AM"
104,"Coari","AM"
105,"Codajás","AM"
106,"Autazes","AM"
107,"Careiro","AM"
108,"Careiro da Várzea","AM"
109,"Iranduba","AM"
110,"Manacapuru","AM"
111,"Manaquiri","AM"
112,"Manaus","AM"
113,"Presidente Figueiredo","AM"
114,"Rio Preto da Eva","AM"
115,"Itacoatiara","AM"
116,"Itapiranga","AM"
117,"Nova Olinda do Norte","AM"
118,"Silves","AM"
119,"Urucurituba","AM"
120,"Barreirinha","AM"
121,"Boa Vista do Ramos","AM"
122,"Maués","AM"
123,"Nhamundá","AM"
124,"Parintins","AM"
125,"São Sebastião do Uatumã","AM"
126,"Urucará","AM"
127,"Boca do Acre","AM"
128,"Pauini","AM"
129,"Canutama","AM"
130,"Lábrea","AM"
131,"Tapauá","AM"
132,"Apuí","AM"
133,"Borba","AM"
134,"Humaitá","AM"
135,"Manicoré","AM"
136,"Novo Aripuanã","AM"
137,"Amajari","RR"
138,"Alto Alegre","RR"
139,"Boa Vista","RR"
140,"Pacaraima","RR"
141,"Bonfim","RR"
142,"Cantá","RR"
143,"Normandia","RR"
144,"Uiramutã","RR"
145,"Caracaraí","RR"
146,"Iracema","RR"
147,"Mucajaí","RR"
148,"Caroebe","RR"
149,"Rorainópolis","RR"
150,"São João da Baliza","RR"
151,"São Luiz","RR"
152,"Faro","PA"
153,"Juruti","PA"
154,"Óbidos","PA"
155,"Oriximiná","PA"
156,"Terra Santa","PA"
157,"Alenquer","PA"
158,"Belterra","PA"
159,"Curuá","PA"
160,"Monte Alegre","PA"
161,"Placas","PA"
162,"Prainha","PA"
163,"Santarém","PA"
164,"Almeirim","PA"
165,"Porto de Moz","PA"
166,"Bagre","PA"
167,"Gurupá","PA"
168,"Melgaço","PA"
169,"Portel","PA"
170,"Afuá","PA"
171,"Anajás","PA"
172,"Breves","PA"
173,"Curralinho","PA"
174,"São Sebastião da Boa Vista","PA"
175,"Cachoeira do Arari","PA"
176,"Chaves","PA"
177,"Muaná","PA"
178,"Ponta de Pedras","PA"
179,"Salvaterra","PA"
180,"Santa Cruz do Arari","PA"
181,"Soure","PA"
182,"Ananindeua","PA"
183,"Barcarena","PA"
184,"Belém","PA"
185,"Benevides","PA"
186,"Marituba","PA"
187,"Santa Bárbara do Pará","PA"
188,"Bujaru","PA"
189,"Castanhal","PA"
190,"Inhangapi","PA"
191,"Santa Isabel do Pará","PA"
192,"Santo Antônio do Tauá","PA"
193,"Colares","PA"
194,"Curuçá","PA"
195,"Magalhães Barata","PA"
196,"Maracanã","PA"
197,"Marapanim","PA"
198,"Salinópolis","PA"
199,"São Caetano de Odivelas","PA"
200,"São João da Ponta","PA"
201,"São João de Pirabas","PA"
202,"Terra Alta","PA"
203,"Vigia","PA"
204,"Augusto Corrêa","PA"
205,"Bonito","PA"
206,"Bragança","PA"
207,"Capanema","PA"
208,"Igarapé-Açu","PA"
209,"Nova Timboteua","PA"
210,"Peixe-Boi","PA"
211,"Primavera","PA"
212,"Quatipuru","PA"
213,"Santa Maria do Pará","PA"
214,"Santarém Novo","PA"
215,"São Francisco do Pará","PA"
216,"Tracuateua","PA"
217,"Abaetetuba","PA"
218,"Baião","PA"
219,"Cametá","PA"
220,"Igarapé-Miri","PA"
221,"Limoeiro do Ajuru","PA"
222,"Mocajuba","PA"
223,"Oeiras do Pará","PA"
224,"Acará","PA"
225,"Concórdia do Pará","PA"
226,"Moju","PA"
227,"Tailândia","PA"
228,"Tomé-Açu","PA"
229,"Aurora do Pará","PA"
230,"Cachoeira do Piriá","PA"
231,"Capitão Poço","PA"
232,"Garrafão do Norte","PA"
233,"Ipixuna do Pará","PA"
234,"Irituia","PA"
235,"Mãe do Rio","PA"
236,"Nova Esperança do Piriá","PA"
237,"Ourém","PA"
238,"Santa Luzia do Pará","PA"
239,"São Domingos do Capim","PA"
240,"São Miguel do Guamá","PA"
241,"Viseu","PA"
242,"Aveiro","PA"
243,"Itaituba","PA"
244,"Jacareacanga","PA"
245,"Novo Progresso","PA"
246,"Rurópolis","PA"
247,"Trairão","PA"
248,"Altamira","PA"
249,"Anapu","PA"
250,"Brasil Novo","PA"
251,"Medicilândia","PA"
252,"Pacajá","PA"
253,"Senador José Porfírio","PA"
254,"Uruará","PA"
255,"Vitória do Xingu","PA"
256,"Breu Branco","PA"
257,"Itupiranga","PA"
258,"Jacundá","PA"
259,"Nova Ipixuna","PA"
260,"Novo Repartimento","PA"
261,"Tucuruí","PA"
262,"Abel Figueiredo","PA"
263,"Bom Jesus do Tocantins","PA"
264,"Dom Eliseu","PA"
265,"Goianésia do Pará","PA"
266,"Paragominas","PA"
267,"Rondon do Pará","PA"
268,"Ulianópolis","PA"
269,"Bannach","PA"
270,"Cumaru do Norte","PA"
271,"Ourilândia do Norte","PA"
272,"São Félix do Xingu","PA"
273,"Tucumã","PA"
274,"Água Azul do Norte","PA"
275,"Canaã dos Carajás","PA"
276,"Curionópolis","PA"
277,"Eldorado dos Carajás","PA"
278,"Parauapebas","PA"
279,"Brejo Grande do Araguaia","PA"
280,"Marabá","PA"
281,"Palestina do Pará","PA"
282,"São Domingos do Araguaia","PA"
283,"São João do Araguaia","PA"
284,"Pau D'Arco","PA"
285,"Piçarra","PA"
286,"Redenção","PA"
287,"Rio Maria","PA"
288,"São Geraldo do Araguaia","PA"
289,"Sapucaia","PA"
290,"Xinguara","PA"
291,"Conceição do Araguaia","PA"
292,"Floresta do Araguaia","PA"
293,"Santa Maria das Barreiras","PA"
