1,"Zona 01","RO"
2,"Zona 02","RO"
3,"Zona 03","RO"
4,"Zona 04","RO"
5,"Primeira R.A.","AM"
6,"Segunda R.A.","AM"
7,"Terceira R.A.","AM"
8,"Quarta R.A.","AM"
9,"Quinta R.A.","AM"
10,"Sexta R.A.","AM"
11,"Sétima R.A.","AM"
12,"Oitava R.A.","AM"
13,"Nona R.A.","AM"
14,"Centro","PI"
15,"Leste","PI"
16,"Norte","PI"
17,"Sudeste","PI"
18,"Sul","PI"
19,"Antônio Bezerra","CE"
20,"Barra do Ceará","CE"
21,"Centro","CE"
22,"Mucuripe","CE"
23,"Antônio Bezerra","CE"
24,"Conjunto Ceará","CE"
25,"Cidade dos Funcionários","CE"
26,"Messejana","CE"
27,"Conjunto Ceará","CE"
28,"Prefeito José Walter Mondubim","CE"
29,"Parangaba","CE"
30,"R.A. Norte","RN"
31,"R.A. Sul","RN"
32,"R.A. Leste","RN"
33,"R.A. Oeste","RN"
34,"RPA 01","PE"
35,"RPA 02","PE"
36,"RPA 03","PE"
37,"RPA 04","PE"
38,"RPA 05","PE"
39,"RPA 06","PE"
40,"Mangabeira","BA"
41,"Pampalona","BA"
42,"Santana","BA"
43,"Santo Antônio","BA"
44,"Subae","BA"
45,"Amaralina","BA"
46,"Brotas","BA"
47,"Conceição da Praia","BA"
48,"Itapoã","BA"
49,"Maré","BA"
50,"Mares","BA"
51,"Nazaré","BA"
52,"Paripe","BA"
53,"Passo","BA"
54,"Penha","BA"
55,"Periperi","BA"
56,"Pilar","BA"
57,"Pirajá","BA"
58,"Plataforma","BA"
59,"Santana","BA"
60,"Santo Antônio","BA"
61,"São Caetano","BA"
62,"São Cristovão","BA"
63,"São Pedro","BA"
64,"Sé","BA"
65,"Valéria","BA"
66,"Vitória","BA"
67,"I REGIÃO ADMINISTRATIVA","MG"
68,"II REGIÃO ADMINISTRATIVA","MG"
69,"III REGIÃO ADMINISTRATIVA","MG"
70,"IV REGIÃO ADMINISTRATIVA","MG"
71,"V REGIÃO ADMINISTRATIVA","MG"
72,"VI REGIÃO ADMINISTRATIVA","MG"
73,"VII REGIÃO ADMINISTRATIVA","MG"
74,"VIII REGIÃO ADMINISTRATIVA","MG"
75,"IX REGIÃO ADMINISTRATIVA","MG"
76,"X REGIÃO ADMINISTRATIVA","MG"
77,"XI REGIÃO ADMINISTRATIVA","MG"
