1,"Rondônia","RO","Norte"
2,"Acre","AC","Norte"
3,"Amazonas","AM","Norte"
4,"Roraima","RR","Norte"
5,"Pará","PA","Norte"
6,"Amapá","AP","Norte"
7,"Tocantins","TO","Norte"
8,"Maranhão","MA","Nordeste"
9,"Piauí","PI","Nordeste"
10,"Ceará","CE","Nordeste"
11,"Rio Grande do Norte","RN","Nordeste"
12,"Paraíba","PB","Nordeste"
13,"Pernambuco","PE","Nordeste"
14,"Alagoas","AL","Nordeste"
15,"Sergipe","SE","Nordeste"
16,"Bahia","BA","Nordeste"
17,"Minas Gerais","MG","Sudeste"
18,"Espírito Santo","ES","Sudeste"
19,"Rio de Janeiro","RJ","Sudeste"
20,"São Paulo","SP","Sudeste"
21,"Paraná","PR","Sul"
22,"Santa Catarina","SC","Sul"
23,"Rio Grande do Sul","RS","Sul"
24,"Mato Grosso do Sul","MS","Centro-Oeste"
25,"Mato Grosso","MT","Centro-Oeste"
26,"Goiás","GO","Centro-Oeste"
27,"Distrito Federal","DF","Centro-Oeste"
